nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
5982.0,0.0
5982.01,0.000578867676716
5982.02,0.000591396784595
5982.03,0.000577251846411
5982.04,0.00054285148574
5982.05,0.000502643441101
5982.06,0.000469998633132
5982.07,0.000448293605762
5982.08,0.000430470635606
5982.09,0.000410140305085
5982.1,0.00039108451708
5982.11,0.000381846636068
5982.12,0.000387438715346
5982.13,0.000407904237358
5982.14,0.000438557601243
5982.15,0.000469875900985
5982.16,0.000491946790948
5982.17,0.000503672944226
5982.18,0.000515997534243
5982.19,0.000543028754308
5982.2,0.00059115465909
5982.21,0.000656547658557
5982.22,0.0007317275876
5982.23,0.000811636967257
5982.24,0.000884096975742
5982.25,0.000922682316791
5982.26,0.000914428648544
5982.27,0.000881033300281
5982.28,0.0008520392705
5982.29,0.00084171402457
5982.3,0.000852798270265
5982.31,0.000883059468355
5982.32,0.000931247601507
5982.33,0.000993686087391
5982.34,0.00105509631919
5982.35,0.0010954420225
5982.36,0.00110496746132
5982.37,0.00108103779197
5982.38,0.00101705138702
5982.39,0.000917767039491
5982.4,0.000809899470861
5982.41,0.000721017996613
5982.42,0.000662517190857
5982.43,0.000631891009759
5982.44,0.000620586303633
5982.45,0.000620527462655
5982.46,0.000627193299007
5982.47,0.000637172439931
5982.48,0.000645239309269
5982.49,0.000646678985048
5982.5,0.000641944611583
5982.51,0.000635573589754
5982.52,0.000631522053164
5982.53,0.000627822185641
5982.54,0.000616362365675
5982.55,0.000594413244972
5982.56,0.000568909877353
5982.57,0.000547555032217
5982.58,0.000534336425223
5982.59,0.000530573542278
5982.6,0.000535975470907
5982.61,0.0005492321931
5982.62,0.000567916338737
5982.63,0.000588850115719
5982.64,0.000609707507746
5982.65,0.000630928797608
5982.66,0.000656142563537
5982.67,0.000688107083046
5982.68,0.000724189440358
5982.69,0.0007580145976
5982.7,0.000786876197889
5982.71,0.000815394949314
5982.72,0.000849692448445
5982.73,0.000890946962415
5982.74,0.000934672873831
5982.75,0.00097584613328
5982.76,0.00101380006579
5982.77,0.00105101349531
5982.78,0.00108985084087
5982.79,0.0011315572954
5982.8,0.00117775435198
5982.81,0.00123062424811
5982.82,0.00128758344164
5982.83,0.00134172754876
5982.84,0.00139206391303
5982.85,0.00144516369998
5982.86,0.00150864709997
5982.87,0.00159003862485
5982.88,0.00169627027067
5982.89,0.00182939160948
5982.9,0.00198356761066
5982.91,0.00215185398426
5982.92,0.00233676559852
5982.93,0.00254505827641
5982.94,0.0027834754267
5982.95,0.00307013014119
5982.96,0.00342605838578
5982.97,0.00383329486042
5982.98,0.00421425065678
5982.99,0.00450235796546
5983.0,0.00472576566395
5983.01,0.00496529377543
5983.02,0.00527753611854
5983.03,0.00569466356905
5983.04,0.0062472890427
5983.05,0.00696479203481
5983.06,0.00788089965357
5983.07,0.00904869653438
5983.08,0.0105460567026
5983.09,0.0124791634867
5983.1,0.0149883192729
5983.11,0.0182529431163
5983.12,0.0225001100624
5983.13,0.028004064724
5983.14,0.0350157243809
5983.15,0.0435095150724
5983.16,0.0526810504256
5983.17,0.0605013843624
5983.18,0.0642317781625
5983.19,0.0622501014109
5983.2,0.055450131718
5983.21,0.0464190892495
5983.22,0.0375244225491
5983.23,0.0299636226162
5983.24,0.0239749915562
5983.25,0.0193632751683
5983.26,0.0158406254795
5983.27,0.0131481133599
5983.28,0.0110731561859
5983.29,0.00944197726038
5983.3,0.00812478075752
5983.31,0.00704539395177
5983.32,0.00616278715616
5983.33,0.00544518352821
5983.34,0.00486310159248
5983.35,0.00439067262745
5983.36,0.00400402874663
5983.37,0.00367817631963
5983.38,0.00339128227492
5983.39,0.00313553136681
5983.4,0.00291684614068
5983.41,0.00274113777673
5983.42,0.00260472100053
5983.43,0.00249762544925
5983.44,0.00241156957498
5983.45,0.00233495885
5983.46,0.00225071743567
5983.47,0.00215604733065
5983.48,0.00206001503439
5983.49,0.00196367950199
5983.5,0.00186856319729
5983.51,0.00178852748423
5983.52,0.00174062652013
5983.53,0.00173422229595
5983.54,0.00176917822618
5983.55,0.00183661311886
5983.56,0.00192132650327
5983.57,0.0020172761525
5983.58,0.00214611599946
5983.59,0.00234152575423
5983.6,0.00260325480308
5983.61,0.00285892176409
5983.62,0.0029807270825
5983.63,0.00288410863354
5983.64,0.00261456703048
5983.65,0.00228839625171
5983.66,0.00197628543727
5983.67,0.00169512224712
5983.68,0.00145550289263
5983.69,0.00126685099495
5983.7,0.00112697868877
5983.71,0.00102668216317
5983.72,0.000956203802632
5983.73,0.000906298579319
5983.74,0.0008682307777
5983.75,0.000837264846256
