nu,CH4/x=3e-6/T=253K/P=.35atm/L=10000000cm
6097.56098,0.0
6097.57098,0.00551367515397
6097.58098,0.00546011600304
6097.59098,0.00535308262474
6097.60098,0.00523577781004
6097.61098,0.00513453202145
6097.62098,0.00503256241214
6097.63098,0.00493950086336
6097.64098,0.00488088589663
6097.65098,0.00486999911575
6097.66098,0.00490149539424
6097.67098,0.00497126720144
6097.68098,0.00510747113698
6097.69098,0.00535173295612
6097.70098,0.00568805661049
6097.71098,0.00596068508567
6097.72098,0.00596323525176
6097.73098,0.00572995716256
6097.74098,0.00548847536557
6097.75098,0.00534785389774
6097.76098,0.00528716625281
6097.77098,0.00527856152556
6097.78098,0.00526816506624
6097.79098,0.00526605669228
6097.80098,0.00537869444841
6097.81098,0.00565953549002
6097.82098,0.00603419378859
6097.83098,0.00636811730897
6097.84098,0.00670384722702
6097.85098,0.0072938868281
6097.86098,0.00842518662815
6097.87098,0.0103590016571
6097.88098,0.0131669308257
6097.89098,0.016132931154
6097.90098,0.0174173055573
6097.91098,0.0158537225535
6097.92098,0.0127349303855
6097.93098,0.00990116160793
6097.94098,0.00795303225637
6097.95098,0.00672624849249
6097.96098,0.00595616107474
6097.97098,0.00546447122901
6097.98098,0.00515557366309
6097.99098,0.00495839542918
6098.00098,0.00480461782629
6098.01098,0.00467984051705
6098.02098,0.00461202711826
6098.03098,0.00461646626406
6098.04098,0.00470265856707
6098.05098,0.00489834285422
6098.06098,0.00526551941365
6098.07098,0.00589567521717
6098.08098,0.0067857759962
6098.09098,0.0075767328211
6098.10098,0.00777041637595
6098.11098,0.00735508057809
6098.12098,0.00663270129256
6098.13098,0.0059569343681
6098.14098,0.00554234601164
6098.15098,0.00537471029375
6098.16098,0.00537666930744
6098.17098,0.00547162603762
6098.18098,0.0055807097857
6098.19098,0.00569114845719
6098.20098,0.00584162641479
6098.21098,0.00603644810548
6098.22098,0.00627122819602
6098.23098,0.00654676865418
6098.24098,0.00687147979985
6098.25098,0.00726945189638
6098.26098,0.00775381282498
6098.27098,0.00833214707952
6098.28098,0.00902293052376
6098.29098,0.00984927958943
6098.30098,0.0108454374149
6098.31098,0.0120658543011
6098.32098,0.0135821475259
6098.33098,0.0154901958406
6098.34098,0.0179284497266
6098.35098,0.0211028664685
6098.36098,0.0253187562821
6098.37098,0.0310320639381
6098.38098,0.0389982534201
6098.39098,0.0505577233903
6098.40098,0.0679906102614
6098.41098,0.0949174810477
6098.42098,0.1357815103
6098.43098,0.191223511867
6098.44098,0.248712517852
6098.45098,0.281966284138
6098.46098,0.269756260681
6098.47098,0.218296117442
6098.48098,0.157438817479
6098.49098,0.109290877212
6098.50098,0.077081271375
6098.51098,0.056356925817
6098.52098,0.042781555857
6098.53098,0.0335774864565
6098.54098,0.0271177405682
6098.55098,0.0224512879296
6098.56098,0.0190044723411
6098.57098,0.0163938993244
6098.58098,0.014337931075
6098.59098,0.0126924844775
6098.60098,0.0114099221413
6098.61098,0.0103907883635
6098.62098,0.00950331018864
6098.63098,0.00872883440148
6098.64098,0.0080867818234
6098.65098,0.0075607948187
6098.66098,0.0071842800547
6098.67098,0.00701699631497
6098.68098,0.00710401567032
6098.69098,0.00742810727263
6098.70098,0.0077549468278
6098.71098,0.0076642795387
6098.72098,0.00705366287583
6098.73098,0.00626199300584
6098.74098,0.00557501790824
6098.75098,0.00507736682154
6098.76098,0.00474091003116
6098.77098,0.00448107585622
6098.78098,0.00425851387146
6098.79098,0.00408007045534
6098.80098,0.00392445697293
6098.81098,0.00375913857973
6098.82098,0.00361470848964
6098.83098,0.00352351973731
6098.84098,0.00348022653582
6098.85098,0.00349586813895
6098.86098,0.00360468155616
6098.87098,0.00384998255837
6098.88098,0.00430885064323
6098.89098,0.00512551268822
6098.90098,0.00639968135102
6098.91098,0.00774894826426
6098.92098,0.00812023986709
6098.93098,0.0070936477297
6098.94098,0.00562328902699
6098.95098,0.00453431143181
6098.96098,0.00391084604655
6098.97098,0.00359050269855
6098.98098,0.00340776341557
6098.99098,0.00327854005052
6099.00098,0.00323522906388
6099.01098,0.00331750650291
6099.02098,0.00356129174732
6099.03098,0.00399025542077
6099.04098,0.00448150110479
6099.05098,0.00483767897901
6099.06098,0.00501741427854
6099.07098,0.00514767315707
6099.08098,0.00533738650657
6099.09098,0.00539054206689
6099.10098,0.00504068039935
6099.11098,0.00442598804907
6099.12098,0.00391608657798
6099.13098,0.00369294902004
6099.14098,0.00367947625654
6099.15098,0.00362883842611
6099.16098,0.0033491736027
6099.17098,0.00294586745352
6099.18098,0.0025887691549
6099.19098,0.00232461981794
6099.20098,0.00216317052246
6099.21098,0.00209200732216
6099.22098,0.00207753048051
6099.23098,0.00207317861109
6099.24098,0.00206830715749
6099.25098,0.00207967161477
6099.26098,0.00208211684063
6099.27098,0.00204736633724
6099.28098,0.00199106464041
6099.29098,0.00195050944303
6099.30098,0.00192502684979
6099.31098,0.00189935386224
6099.32098,0.00189916551032
6099.33098,0.00195955796517
6099.34098,0.00209399212196
6099.35098,0.00228212441467
6099.36098,0.0023942153352
6099.37098,0.00229888013454
6099.38098,0.00211159467061
6099.39098,0.00198533478043
6099.40098,0.00191746733807
6099.41098,0.00186113620502
6099.42098,0.0017956341817
6099.43098,0.00171960191615
6099.44098,0.00165227086037
6099.45098,0.00161156004036
6099.46098,0.0015977361835
6099.47098,0.00160752167447
6099.48098,0.00164372519004
6099.49098,0.00171243372086
6099.50098,0.00180041309348
6099.51098,0.0018596238023
6099.52098,0.00188037936269
6099.53098,0.00192109008934
6099.54098,0.00200022905489
6099.55098,0.00207694218896
6099.56098,0.00213043729076
6099.57098,0.00218370786621
6099.58098,0.00227901169793
6099.59098,0.00246057855486
