nu,CH4/x=3e-6/T=253K/P=.53atm/L=10000000cm
5882.35294,0.0
5882.36294,0.355275562262
5882.37294,0.286554710892
5882.38294,0.233797944682
5882.39294,0.193476471198
5882.40294,0.163687165053
5882.41294,0.142511858902
5882.42294,0.128049336955
5882.43294,0.118487593759
5882.44294,0.111974508779
5882.45294,0.107094916168
5882.46294,0.103596684847
5882.47294,0.101935660493
5882.48294,0.102200182135
5882.49294,0.103918365628
5882.50294,0.106756508193
5882.51294,0.110860771212
5882.52294,0.116125376929
5882.53294,0.121881352283
5882.54294,0.128425493827
5882.55294,0.137888164435
5882.56294,0.152325064745
5882.57294,0.17240045629
5882.58294,0.199284918757
5882.59294,0.236625442246
5882.60294,0.288892248608
5882.61294,0.357674647004
5882.62294,0.436364220911
5882.63294,0.504118730449
5882.64294,0.530895242004
5882.65294,0.501341092899
5882.66294,0.431006759021
5882.67294,0.349794139448
5882.68294,0.27795119032
5882.69294,0.221280443229
5882.70294,0.178343012038
5882.71294,0.146405429214
5882.72294,0.12303879615
5882.73294,0.106051449321
5882.74294,0.0934668743232
5882.75294,0.083742162245
5882.76294,0.0760340906302
5882.77294,0.0699582155719
5882.78294,0.0651849677712
5882.79294,0.0615099302717
5882.80294,0.0589779703534
5882.81294,0.0577138976251
5882.82294,0.0577596621085
5882.83294,0.0590970432239
5882.84294,0.0618078915071
5882.85294,0.0662380697864
5882.86294,0.0729925788312
5882.87294,0.0828130371748
5882.88294,0.0965113462925
5882.89294,0.114959447399
5882.90294,0.139163932222
5882.91294,0.170151518971
5882.92294,0.207229382471
5882.93294,0.244335571931
5882.94294,0.269544497255
5882.95294,0.273111817282
5882.96294,0.254669314241
5882.97294,0.221175189442
5882.98294,0.183282755467
5882.99294,0.150624774063
5883.00294,0.127645510436
5883.01294,0.114553927341
5883.02294,0.109979743295
5883.03294,0.111870687763
5883.04294,0.117359370666
5883.05294,0.123848994289
5883.06294,0.130365609942
5883.07294,0.136534618765
5883.08294,0.141360080638
5883.09294,0.142651201571
5883.10294,0.137872033819
5883.11294,0.127757362066
5883.12294,0.11558397273
5883.13294,0.103049785355
5883.14294,0.0903486545073
5883.15294,0.0778318695523
5883.16294,0.0664650657897
5883.17294,0.0573717868731
5883.18294,0.0510185554281
5883.19294,0.0472079901334
5883.20294,0.0455843944178
5883.21294,0.0458518879299
5883.22294,0.0476117844575
5883.23294,0.0503099599064
5883.24294,0.053751569163
5883.25294,0.0586106971129
5883.26294,0.0660408313421
5883.27294,0.0768160171824
5883.28294,0.0902672776508
5883.29294,0.10288431035
5883.30294,0.109321570404
5883.31294,0.107173720258
5883.32294,0.0990097979982
5883.33294,0.0892143888282
5883.34294,0.0810206492331
5883.35294,0.075401759897
5883.36294,0.0713367652415
5883.37294,0.0674163166574
5883.38294,0.0633020296024
5883.39294,0.0596265592316
5883.40294,0.0573963104041
5883.41294,0.0576381607523
5883.42294,0.0610986541614
5883.43294,0.0680374999
5883.44294,0.0778676330875
5883.45294,0.0886021451929
5883.46294,0.0971078674315
5883.47294,0.101534011301
5883.48294,0.103631260004
5883.49294,0.106617158836
5883.50294,0.111136414896
5883.51294,0.114284061029
5883.52294,0.111916975657
5883.53294,0.102522124089
5883.54294,0.0888357757045
5883.55294,0.0748796647522
5883.56294,0.0629171328596
5883.57294,0.0535997897174
5883.58294,0.0469742712577
5883.59294,0.0427605673762
5883.60294,0.040500208189
5883.61294,0.0398311779797
5883.62294,0.0406999460004
5883.63294,0.0433272577515
5883.64294,0.0480926636029
5883.65294,0.055523668971
5883.66294,0.0660495063478
5883.67294,0.0787667498009
5883.68294,0.0898525948618
5883.69294,0.094095307499
5883.70294,0.0898957056467
5883.71294,0.0806176039637
5883.72294,0.0708464241176
5883.73294,0.0635312298411
5883.74294,0.0597473680538
5883.75294,0.0591004183757
5883.76294,0.0596331643357
5883.77294,0.0582577000831
5883.78294,0.0532590666204
5883.79294,0.0460672039973
5883.80294,0.0392483641543
5883.81294,0.034180239389
5883.82294,0.0310024198162
5883.83294,0.0294039231308
5883.84294,0.0290396755963
5883.85294,0.0295889088968
5883.86294,0.0308023119605
5883.87294,0.0326392665861
5883.88294,0.0352185831881
5883.89294,0.0385781142114
5883.90294,0.0425137716459
5883.91294,0.0466061789636
5883.92294,0.0504687208749
5883.93294,0.0542918562457
5883.94294,0.0592357745565
5883.95294,0.0668235601023
5883.96294,0.077776711977
5883.97294,0.0912132124011
5883.98294,0.104610555764
5883.99294,0.114710148993
5884.00294,0.118646915779
5884.01294,0.115088589977
5884.02294,0.105090638685
5884.03294,0.0914717249926
5884.04294,0.0775334444917
5884.05294,0.0657395442946
5884.06294,0.056779029539
5884.07294,0.0500156530881
5884.08294,0.0447492306433
5884.09294,0.0409074155692
5884.10294,0.0387703135581
5884.11294,0.0384083488728
5884.12294,0.0393585489617
5884.13294,0.0405492773945
5884.14294,0.0403001793967
5884.15294,0.0373448822642
5884.16294,0.0324268675984
5884.17294,0.0274645541489
5884.18294,0.023636847698
5884.19294,0.0211151409664
5884.20294,0.019655436284
5884.21294,0.0189683567367
5884.22294,0.0188306311038
5884.23294,0.0191029502909
5884.24294,0.0197447868631
5884.25294,0.0207355023703
5884.26294,0.0219702407229
5884.27294,0.0235700988548
5884.28294,0.0261029387531
5884.29294,0.0299087274773
5884.30294,0.0340582876953
5884.31294,0.0361990591445
5884.32294,0.0346532865895
5884.33294,0.0305445082623
5884.34294,0.0262887684023
5884.35294,0.0232637418164
5884.36294,0.0217056859014
5884.37294,0.0214537631591
5884.38294,0.0223031342418
5884.39294,0.0241007605272
5884.40294,0.0269105616852
5884.41294,0.031075381087
5884.42294,0.0368822207793
5884.43294,0.0440855831567
5884.44294,0.0514588145317
5884.45294,0.056555820427
5884.46294,0.056883885218
5884.47294,0.0522634090193
5884.48294,0.045055794273
5884.49294,0.0379071415459
5884.50294,0.0322769706995
5884.51294,0.0284676720934
5884.52294,0.0260138448268
5884.53294,0.0240963114992
5884.54294,0.0221213248661
5884.55294,0.0201052389099
5884.56294,0.018438702267
5884.57294,0.0174564634195
5884.58294,0.0172398067953
5884.59294,0.017632465273
5884.60294,0.0183278543533
5884.61294,0.0188382055557
5884.62294,0.0185651562573
5884.63294,0.0173220879752
5884.64294,0.0155851003975
5884.65294,0.0139986266762
5884.66294,0.0128832134747
5884.67294,0.012211111586
5884.68294,0.0118372229073
5884.69294,0.0116439237868
5884.70294,0.01148405317
5884.71294,0.0112515947667
5884.72294,0.0110489244327
5884.73294,0.0110471727333
5884.74294,0.0113094049772
5884.75294,0.0118604599814
5884.76294,0.0127647377296
5884.77294,0.0140015951306
5884.78294,0.0152596677205
5884.79294,0.0160033180319
5884.80294,0.0159521470621
5884.81294,0.0154094680679
5884.82294,0.0149575296848
5884.83294,0.0149971704421
5884.84294,0.0156732630707
5884.85294,0.0170403418902
5884.86294,0.0191794321149
