nu,CH4/x=3e-6/T=253K/P=.53atm/L=10000000cm
6097.56098,0.0
6097.57098,0.0120555392937
6097.58098,0.0118996641222
6097.59098,0.011724203317
6097.60098,0.0115459133769
6097.61098,0.0113773846683
6097.62098,0.0112233759873
6097.63098,0.0110965066286
6097.64098,0.0110129524762
6097.65098,0.0109814284618
6097.66098,0.011002648902
6097.67098,0.0110794219261
6097.68098,0.0112195247138
6097.69098,0.0114148301132
6097.70098,0.0116138113601
6097.71098,0.0117294798281
6097.72098,0.0117073774565
6097.73098,0.0115844892429
6097.74098,0.0114467980958
6097.75098,0.0113496348266
6097.76098,0.0113059348558
6097.77098,0.0113085699357
6097.78098,0.0113526286444
6097.79098,0.0114706350297
6097.80098,0.0117157752494
6097.81098,0.0121033256037
6097.82098,0.0125986203542
6097.83098,0.0131828562113
6097.84098,0.0139346676676
6097.85098,0.0150152047112
6097.86098,0.0165672674315
6097.87098,0.0185886890611
6097.88098,0.0207702431754
6097.89098,0.0224067748462
6097.90098,0.0227033463435
6097.91098,0.0214562713662
6097.92098,0.0192737324013
6097.93098,0.0169766492166
6097.94098,0.0150406897816
6097.95098,0.0135737740587
6097.96098,0.0125131854573
6097.97098,0.0117629617417
6097.98098,0.0112392407232
6097.99098,0.0108715514857
6098.00098,0.0106104038523
6098.01098,0.0104410022115
6098.02098,0.0103714750921
6098.03098,0.0104142590281
6098.04098,0.0105861481757
6098.05098,0.0109145099746
6098.06098,0.0114306924802
6098.07098,0.0121292583696
6098.08098,0.0128875712394
6098.09098,0.0134471121096
6098.10098,0.0135872705734
6098.11098,0.0133081630427
6098.12098,0.0128024266389
6098.13098,0.0123170785844
6098.14098,0.0120089632072
6098.15098,0.0119085731705
6098.16098,0.0119792941693
6098.17098,0.0121650240855
6098.18098,0.0124215853827
6098.19098,0.0127410381533
6098.20098,0.0131357656314
6098.21098,0.0136138251832
6098.22098,0.0141817049659
6098.23098,0.0148506401088
6098.24098,0.0156406231417
6098.25098,0.0165780688053
6098.26098,0.0176895776476
6098.27098,0.0190060082537
6098.28098,0.0205690609006
6098.29098,0.0224345001368
6098.30098,0.024678106565
6098.31098,0.0274027478739
6098.32098,0.0307462374597
6098.33098,0.0348953468923
6098.34098,0.0401081200766
6098.35098,0.0467448384736
6098.36098,0.0553114164271
6098.37098,0.0665296013089
6098.38098,0.0814443661972
6098.39098,0.101512430894
6098.40098,0.128515531472
6098.41098,0.163960702305
6098.42098,0.207371742949
6098.43098,0.253457775476
6098.44098,0.290670296646
6098.45098,0.305312060249
6098.46098,0.290620411123
6098.47098,0.252681122829
6098.48098,0.205767684495
6098.49098,0.162027259941
6098.50098,0.126673360744
6098.51098,0.0999064280562
6098.52098,0.0800697135621
6098.53098,0.0653548684588
6098.54098,0.0543224274214
6098.55098,0.0459350256999
6098.56098,0.0394616878925
6098.57098,0.0343795826404
6098.58098,0.0303203604783
6098.59098,0.0270443657445
6098.60098,0.0243837970228
6098.61098,0.0221872219468
6098.62098,0.0203353553377
6098.63098,0.0187691153188
6098.64098,0.0174600155386
6098.65098,0.0163932660255
6098.66098,0.0155747911085
6098.67098,0.0150096281737
6098.68098,0.014667033097
6098.69098,0.014444166762
6098.70098,0.0141595182078
6098.71098,0.0136486487051
6098.72098,0.0129011742219
6098.73098,0.0120501078325
6098.74098,0.0112406301241
6098.75098,0.0105494845342
6098.76098,0.00998015524578
6098.77098,0.00950193838391
6098.78098,0.00909340384235
6098.79098,0.00874314889807
6098.80098,0.00843525911943
6098.81098,0.00816437647788
6098.82098,0.0079476135307
6098.83098,0.0078031623934
6098.84098,0.00774384788592
6098.85098,0.00779196934615
6098.86098,0.00798287660631
6098.87098,0.00836261790363
6098.88098,0.00898420536941
6098.89098,0.00986464413516
6098.90098,0.0108587028943
6098.91098,0.0115527455987
6098.92098,0.0114907975594
6098.93098,0.0106686687609
6098.94098,0.0095476826264
6098.95098,0.00855543594028
6098.96098,0.0078401140648
6098.97098,0.00736936524469
6098.98098,0.00706603395686
6098.99098,0.00689013193533
6099.00098,0.00685006491522
6099.01098,0.00696615887474
6099.02098,0.00724547180905
6099.03098,0.00764710703514
6099.04098,0.00806156349305
6099.05098,0.00838043622216
6099.06098,0.00857899030022
6099.07098,0.00869368230475
6099.08098,0.00871407316166
6099.09098,0.00854518611333
6099.10098,0.00814577912077
6099.11098,0.0076335527358
6099.12098,0.00718652432563
6099.13098,0.00688838268441
6099.14098,0.00667779469416
6099.15098,0.00641979175624
6099.16098,0.00604725414768
6099.17098,0.00561885786165
6099.18098,0.00522347344917
6099.19098,0.00490981022109
6099.20098,0.00469129592794
6099.21098,0.00455630841533
6099.22098,0.00447676654919
6099.23098,0.00442448071697
6099.24098,0.00438720593446
6099.25098,0.00435717387422
6099.26098,0.00431775728824
6099.27098,0.00426001370097
6099.28098,0.00419522974221
6099.29098,0.00414069360289
6099.30098,0.00410342785252
6099.31098,0.0040895792417
6099.32098,0.00411452485413
6099.33098,0.00419094077575
6099.34098,0.00431040156016
6099.35098,0.00442429027475
6099.36098,0.00445120558927
6099.37098,0.00436081144212
6099.38098,0.00421761336828
6099.39098,0.00409007941142
6099.40098,0.00398968830916
6099.41098,0.00390101706892
6099.42098,0.00381387866138
6099.43098,0.0037311743883
6099.44098,0.00366522379137
6099.45098,0.00362635289305
6099.46098,0.0036177945477
6099.47098,0.00364002490219
6099.48098,0.00369339752025
6099.49098,0.00377318330995
6099.50098,0.00386177863557
6099.51098,0.00393926951806
6099.52098,0.00401105305794
6099.53098,0.00409974153767
6099.54098,0.00420914575795
6099.55098,0.00432623370657
6099.56098,0.00445073984212
6099.57098,0.00460561112054
6099.58098,0.00482690652975
6099.59098,0.00515352571865
6099.60098,0.00561490533478
6099.61098,0.00619812780304
6099.62098,0.00681123623425
6099.63098,0.00729361100061
6099.64098,0.00751209462115
6099.65098,0.00749012346805
6099.66098,0.00740477184627
6099.67098,0.00742849180866
6099.68098,0.00759774264432
6099.69098,0.0077933672787
6099.70098,0.00781796057847
6099.71098,0.00754845652387
6099.72098,0.00704689293123
6099.73098,0.00648344416906
6099.74098,0.00597831983015
6099.75098,0.00556306275086
6099.76098,0.00523680383818
6099.77098,0.00500341329514
6099.78098,0.00487081677235
6099.79098,0.00484002632162
6099.80098,0.00489462261906
6099.81098,0.00499797844405
6099.82098,0.00511714525152
6099.83098,0.00525664937765
6099.84098,0.00546036557787
6099.85098,0.00578464758231
6099.86098,0.00626203350063
6099.87098,0.00685159620674
6099.88098,0.00736663126894
6099.89098,0.00751632777535
6099.90098,0.00719335445407
6099.91098,0.00662525082074
6099.92098,0.0061035894502
6099.93098,0.0057583594804
6099.94098,0.00559629151094
6099.95098,0.00558402897545
6099.96098,0.0056768421528
6099.97098,0.00583368452429
6099.98098,0.0060406439282
6099.99098,0.00630475965859
6100.00098,0.00661700260833
6100.01098,0.00692445739399
6100.02098,0.00715063513974
6100.03098,0.00725477511529
6100.04098,0.0072541870785
6100.05098,0.00720730511707
6100.06098,0.00719976345381
6100.07098,0.00730327681632
6100.08098,0.00754336065983
6100.09098,0.00792587657204
6100.10098,0.00847407742858
6100.11098,0.0092308752393
6100.12098,0.010248637766
6100.13098,0.0115776771073
6100.14098,0.0132338531502
6100.15098,0.0151641597459
6100.16098,0.0172614099265
6100.17098,0.0193851894157
6100.18098,0.0212488543995
6100.19098,0.022350573122
6100.20098,0.0223509024591
6100.21098,0.0215319282449
6100.22098,0.0206062856601
6100.23098,0.0201864832548
6100.24098,0.0205874573072
6100.25098,0.0219536980645
6100.26098,0.024433549738
6100.27098,0.0282902783366
6100.28098,0.0339626765739
6100.29098,0.0420816525804
6100.30098,0.0533361294233
6100.31098,0.0678727033077
6100.32098,0.0838915111422
6100.33098,0.0963624641665
6100.34098,0.0991093035107
6100.35098,0.0905645122482
6100.36098,0.0755555670073
6100.37098,0.0601946081976
6100.38098,0.0476351765633
6100.39098,0.0382891046258
6100.40098,0.0314740652961
6100.41098,0.0264062020983
6100.42098,0.0225278566286
6100.43098,0.0195196865985
6100.44098,0.0171955409023
6100.45098,0.0154193902876
6100.46098,0.014079673427
6100.47098,0.0130859290298
6100.48098,0.0123651847979
6100.49098,0.0118540875962
6100.50098,0.0114971534001
6100.51098,0.0112555303652
6100.52098,0.0111020835711
6100.53098,0.0110166429625
6100.54098,0.0110037901599
6100.55098,0.0110846254555
6100.56098,0.0112684498201
6100.57098,0.0115518125728
6100.58098,0.0119360229961
6100.59098,0.0124355034573
6100.60098,0.013072809251
6100.61098,0.0138746079369
6100.62098,0.0148736080016
6100.63098,0.0161102938038
6100.64098,0.0176316638426
6100.65098,0.0194993243382
6100.66098,0.0218227554123
6100.67098,0.0247918230614
6100.68098,0.02868600795
6100.69098,0.0338979118014
6100.70098,0.0409758035777
6100.71098,0.0505971797957
6100.72098,0.0632401446338
6100.73098,0.0782025972475
6100.74098,0.0924166376056
6100.75098,0.101673208486
6100.76098,0.105256135626
6100.77098,0.107732504553
6100.78098,0.114547700657
6100.79098,0.128045549509
6100.80098,0.148347007022
6100.81098,0.176260792556
6100.82098,0.210838721098
6100.83098,0.241427169882
6100.84098,0.249563076185
6100.85098,0.228050370366
6100.86098,0.190215259091
6100.87098,0.153698174333
6100.88098,0.126662242534
6100.89098,0.109610374846
6100.90098,0.101142854606
6100.91098,0.100460600425
6100.92098,0.106983650322
6100.93098,0.118678182856
6100.94098,0.130074859768
6100.95098,0.133091904976
6100.96098,0.123279795153
6100.97098,0.104392745055
6100.98098,0.0838589448748
6100.99098,0.0664132261133
6101.00098,0.053168667327
6101.01098,0.0435229191039
6101.02098,0.0365486977121
6101.03098,0.031484267224
6101.04098,0.0278144543035
6101.05098,0.0252185893665
6101.06098,0.0234998872262
6101.07098,0.0225051081434
6101.08098,0.0219734349913
6101.09098,0.0214321974891
6101.10098,0.0204557983895
6101.11098,0.0190981109739
6101.12098,0.0177809270233
6101.13098,0.0168353183893
6101.14098,0.0163662629989
6101.15098,0.0163748719169
6101.16098,0.016863625116
6101.17098,0.0178645061843
6101.18098,0.0193901772407
6101.19098,0.0213000567699
6101.20098,0.0231871403718
6101.21098,0.0245599213626
6101.22098,0.0253107456119
6101.23098,0.025852637476
6101.24098,0.0266415001518
6101.25098,0.0276325669504
6101.26098,0.028268270064
6101.27098,0.0281366508058
6101.28098,0.0275814960823
6101.29098,0.0274597335433
6101.30098,0.02857028645
6101.31098,0.0315520438692
6101.32098,0.0371407182257
6101.33098,0.0463495308261
6101.34098,0.060011800414
6101.35098,0.0766672455599
6101.36098,0.0896205430763
6101.37098,0.0902542453573
6101.38098,0.0785265770732
6101.39098,0.063078502594
6101.40098,0.0507512613399
6101.41098,0.0431619032799
6101.42098,0.0396447811827
6101.43098,0.039434278152
6101.44098,0.0422209105451
6101.45098,0.0480752610252
6101.46098,0.0570378596241
6101.47098,0.0682828373786
6101.48098,0.0795136567039
6101.49098,0.0884770525682
6101.50098,0.0958519998137
6101.51098,0.104043187902
6101.52098,0.111408047851
6101.53098,0.110871980735
6101.54098,0.0983604648865
6101.55098,0.0789228861793
6101.56098,0.0602407153945
6101.57098,0.045832335776
6101.58098,0.035633513898
6101.59098,0.0285099452217
6101.60098,0.0234358725277
6101.61098,0.0197265636641
6101.62098,0.0169666471945
6101.63098,0.014905013917
6101.64098,0.0133782167347
6101.65098,0.0122496118006
6101.66098,0.0113621433879
6101.67098,0.010563542538
6101.68098,0.00980999181191
6101.69098,0.00915912586022
6101.70098,0.00863608196183
6101.71098,0.00818918931955
6101.72098,0.00776899257311
6101.73098,0.00738427599727
6101.74098,0.00706531130577
6101.75098,0.00682799195628
6101.76098,0.00668288208979
6101.77098,0.00663898545297
6101.78098,0.00667578536407
6101.79098,0.00672837660648
